Well Count,Total Water (bbl),Total Oil (bbl),Total Gas (cf),State,County,Average Water Per Well (bbl),Average TD (ft),Average Lateral Length (ft),Average GL Elevation (ft),Average Oil Per Well (bbl),Average Gas Per Well (cf),Average Emissions Per Well (tons),State,County,Pollutant,Emissions (tons),Pollutant,Emissions (tons),Pollutant,Emissions (tons),,
10,1000000,606000,4000000000,Michigan,Kalkaska,100000,5163,3353,1100,60600,400000000,7279,Michigan,Kalkaska,Carbon Dioxide,71538,Carbon Monoxide,862,Methanol,265,Nitrogen Oxides,121
35,3000000,861000,2000000000,Michigan,Lapeer,85714,3126,3036,763,24600,57142857,7216,Michigan,Lapeer,Carbon Dioxide,248916,Carbon Monoxide,2805,Methanol,452,Nitrogen Oxides,381
2,125000,366000,52000000,Michigan,Livingston,62500,5759,5759,974,183000,26000000,277276,Michigan,Livingston,Carbon Dioxide,548835,Carbon Monoxide,5022,Methanol,390,Nitrogen Oxides,304
15,15000000,9000000,86000000000,Michigan,Manistee,1000000,5430,2885,758,600000,5733333333,4777,Michigan,Manistee,Carbon Dioxide,70367,Carbon Monoxide,891,Methanol,282,Nitrogen Oxides,117
5,101000,517000,6000000000,Michigan,Mason,20200,2370,2370,308,103400,1200000000,17071,Michigan,Mason,Carbon Dioxide,83034,Carbon Monoxide,1967,Methanol,277,Nitrogen Oxides,79
19,189000,1000000,233000,Michigan,Midland,9947,3506,3291,649,52632,12263,11907,Michigan,Midland,Carbon Dioxide,223231,Carbon Monoxide,2503,Methanol,284,Nitrogen Oxides,219
24,100000,388000,109000000,Michigan,Missaukee,4167,4559,4559,749,16167,4541667,2064,Michigan,Missaukee,Carbon Dioxide,48199,Carbon Monoxide,883,Methanol,271,Nitrogen Oxides,171
3,12000,18000,79000000,Michigan,Montmorency,4000,6804,2546,1335,6000,26333333,11721,Michigan,Montmorency,Carbon Dioxide,31536,Carbon Monoxide,2063,Methanol,229,Nitrogen Oxides,1334
6,202000,133000,35000000,Michigan,Newaygo,33667,2923,2923,977,22167,5833333,17382,Michigan,Newaygo,Carbon Dioxide,102195,Carbon Monoxide,1378,Methanol,477,Nitrogen Oxides,243
73,15000000,3000000,2000000000,Michigan,Ogemaw,205479,2995,2995,749,41096,27397260,0,Michigan,Ogemaw,,,,,,,,
